,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
130,1340566235642212354,2020-12-20 07:54:31+00:00,1004030031457333253,1340427316573462530,1063806444380798976,95.0
137,1340567700209328135,2020-12-20 08:00:20+00:00,1114905660,1340428826694852609,372937945,5.0
140,1340568237768126464,2020-12-20 08:02:29+00:00,1223954414807011328,1340427316573462530,1063806444380798976,95.0
141,1340569067292405761,2020-12-20 08:05:46+00:00,4871884721,1340427316573462530,1063806444380798976,95.0
143,1340569326416523264,2020-12-20 08:06:48+00:00,4871884721,1340426688941993990,331617619,82.5
145,1340569972418998272,2020-12-20 08:09:22+00:00,3928901475,1340427316573462530,1063806444380798976,95.0
147,1340570491371859969,2020-12-20 08:11:26+00:00,1182256918712205313,1340428826694852609,372937945,5.0
148,1340570812047384581,2020-12-20 08:12:42+00:00,2665337999,1340427316573462530,1063806444380798976,95.0
150,1340571323878260737,2020-12-20 08:14:44+00:00,773002169553457152,1340568024320004101,1072167411984551936,100.0
153,1340571634487488512,2020-12-20 08:15:58+00:00,881039666035675137,1340427316573462530,1063806444380798976,95.0
154,1340571889937371137,2020-12-20 08:16:59+00:00,1224996284,1340427316573462530,1063806444380798976,95.0
155,1340572516507639808,2020-12-20 08:19:29+00:00,1282221813376978946,1340317791841366016,958859016700071936,64.5
156,1340572520156721152,2020-12-20 08:19:30+00:00,356159314,1340555746845601792,76786936,95.0
159,1340572968477450241,2020-12-20 08:21:16+00:00,1259319638904668161,1340427316573462530,1063806444380798976,95.0
161,1340573382627250176,2020-12-20 08:22:55+00:00,192688721,1339487187990155264,274095255,82.5
163,1340573748253102080,2020-12-20 08:24:22+00:00,1248521058778583041,1340427316573462530,1063806444380798976,95.0
164,1340574023575629825,2020-12-20 08:25:28+00:00,1033993296203472896,1340427316573462530,1063806444380798976,95.0
167,1340574384654848005,2020-12-20 08:26:54+00:00,965635507865772033,1340427316573462530,1063806444380798976,95.0
172,1340576527667355648,2020-12-20 08:35:25+00:00,396551062,1340401356205645824,764345623,90.0
175,1340576920166146048,2020-12-20 08:36:59+00:00,740101940143591424,1340568024320004101,1072167411984551936,100.0
176,1340577123925409793,2020-12-20 08:37:47+00:00,1320296479437836288,1340425621793624064,11540552,95.0
177,1340577208826474496,2020-12-20 08:38:07+00:00,3084886731,1340427316573462530,1063806444380798976,95.0
182,1340578741135822848,2020-12-20 08:44:13+00:00,1001097999014137856,1340551818074599424,975616683611181057,5.0
183,1340578932731600898,2020-12-20 08:44:58+00:00,999183445,1340427316573462530,1063806444380798976,95.0
185,1340579647696871424,2020-12-20 08:47:49+00:00,351555225,1340427316573462530,1063806444380798976,95.0
